ONU_ID,STATUS ONT,TOKEN,Potencia Rx,LastOff,LINE_ID,SN,VNO_CODE,NODO,DIVICAU,CTO,BORNE
1,UP,MSTC0F3DE9E8,-16.970,2024-05-20 20:53:11,PER.TDP.1679487836526,MSTC0F3DE9E8,1011115824,JU,G308,JUG3080103,12
2,UP,MSTC0F36EEDB,-19.032,2024-05-20 08:03:14,PER.TDP.1679488011363,MSTC0F36EEDB,1010105494,JU,G308,JUG3080104,6
3,Power-Off,MSTC09463031,--,2023-11-08 14:38:38,PER.TDP.1679443045849,MSTC09463031,1054683114,JU,G308,JUG3080101,2
4,UP,MSTC09467ED6,-18.042,2024-05-21 03:17:09,PER.TDP.1679442229811,MSTC09467ED6,1054718247,JU,G308,JUG3080102,1
5,UP,MSTC0944AED2,-16.497,2024-05-13 00:35:54,PER.TDP.1679430627648,MSTC0944AED2,1055603586,JU,G308,JUG3080104,1
6,UP,MSTC0F36F5FD,-21.872,2024-05-20 20:50:56,PER.TDP.1679469984216,MSTC0F36F5FD,1010214037,JU,G308,JUG3080103,6
7,UP,MSTC09465961,-17.826,2024-05-20 23:35:06,PER.TDP.1679452121782,MSTC09465961,1054780948,JU,G308,JUG3080106,3
8,UP,MSTC09465EE6,-17.400,2024-05-20 17:54:28,PER.TDP.1679451147494,MSTC09465EE6,1054434195,JU,G308,JUG3080102,3
9,UP,MSTC09467B3D,-18.154,2024-05-20 21:40:55,PER.TDP.1679462278155,MSTC09467B3D,1055691334,JU,G308,JUG3080106,4
10,UP,MSTC09465B82,-17.168,2024-05-20 21:43:44,PER.TDP.1679481926408,MSTC09465B82,1055688355,JU,G308,JUG3080105,2
11,Power-Off,188EF049060CE0000000,--,2024-05-03 09:28:46,PER.TDP.1687637233171,MSTC0F40978F,1012298053,JU,G308,JUG3080105,5
12,UP,ASKY005E562F,-15.840,2024-04-09 05:00:08,PER.TDP.1679431008070,ASKY005E562F,1010648086,JU,G308,JUG3080103,5
13,UP,MSTC09466138,-18.570,2024-05-21 00:32:48,PER.TDP.1679479264735,MSTC09466138,1055336702,JU,G308,JUG3080105,3
15,other,18D57285D58BE5000000,--,--,PER.TDP.1706564279081,--,1013652066,JU,G308,JUG3080103,2
16,LOS,MSTC0F353C44,--,2024-03-14 16:35:05,PER.TDP.1679448574956,MSTC0F353C44,1055045646,JU,G308,JUG3080106,6
18,UP,18E81DFCC7A96F000000,-16.652,2024-05-09 13:32:31,PER.TDP.1711575910859,MSTC8CB1229D,1014087289,JU,G308,JUG3080101,1
19,UP,MSTC0F33E166,-18.270,2024-05-21 03:17:45,PER.TDP.1679481406471,MSTC0F33E166,1010095726,JU,G308,JUG3080106,7
21,UP,MSTC0F362635,-16.862,2024-05-21 05:28:41,PER.TDP.1679490333475,MSTC0F362635,1010144135,JU,G308,JUG3080106,5
22,UP,MSTC0F3620C6,-16.799,2024-05-09 01:29:46,PER.TDP.1679474791028,MSTC0F3620C6,1010175077,JU,G308,JUG3080104,3
23,UP,MSTC0F362A25,-20.862,2024-05-21 09:25:17,PER.TDP.1679456064537,MSTC0F362A25,1010167507,JU,G308,JUG3080105,7
25,UP,MSTC0F3706EC,-16.384,2024-05-11 08:01:21,PER.TDP.1679442950771,MSTC0F3706EC,1010197112,JU,G308,JUG3080103,3
27,UP,MSTC0F36EE6D,-17.146,2024-05-21 09:08:19,PER.TDP.1679467567254,MSTC0F36EE6D,1010207962,JU,G308,JUG3080102,4
28,UP,MSTC0F3700AF,-17.055,2024-05-20 23:32:57,PER.TDP.1679457007850,MSTC0F3700AF,1010304922,JU,G308,JUG3080101,4
29,UP,18CADE16952577000000,-17.790,2024-05-21 01:02:27,PER.TDP.1703724279462,ASKY00712661,1013433592,JU,G308,JUG3080102,6
31,UP,ASKY005AE343,-18.630,2024-05-17 18:47:33,PER.TDP.1679453718741,ASKY005AE343,1010274478,JU,G308,JUG3080102,2
32,UP,ASKY005E5999,-16.942,2024-05-03 11:47:08,PER.TDP.1679490939685,ASKY005E5999,1010679483,JU,G308,JUG3080101,5
33,UP,ASKY005E52A2,-16.520,2024-05-21 00:33:32,PER.TDP.1679482543628,ASKY005E52A2,1010740022,JU,G308,JUG3080103,9
34,UP,ASKY00644394,-16.520,2024-05-07 13:36:00,PER.TDP.1679488392556,ASKY00644394,1011116905,JU,G308,JUG3080103,13
35,UP,MSTC0F39F681,-18.328,2024-05-17 20:50:59,PER.TDP.1679466936436,MSTC0F39F681,1011250509,JU,G308,JUG3080101,8
36,UP,ASKY0064DF20,-16.540,2024-05-21 00:26:16,PER.TDP.1679477816556,ASKY0064DF20,1011270771,JU,G308,JUG3080102,16
37,UP,ASKY006230A5,-15.459,2024-05-21 10:30:03,PER.TDP.1681823547426,ASKY006230A5,1011723347,JU,G308,JUG3080101,3
39,UP,MSTC0946601E,-17.932,2024-03-25 14:12:38,PER.TDP.1681817748978,MSTC0946601E,1055378669,JU,G308,JUG3080106,2
40,UP,18A23F3CE6F561000000,-16.904,2024-05-21 00:31:16,PER.TDP.1692820294702,MSTC0F423ED8,1012657545,JU,G308,JUG3080103,8
42,UP,189C6995461EA4000000,-17.596,2024-05-21 05:52:12,PER.TDP.1691254084023,MSTC0F423D45,1012544363,JU,G308,JUG3080106,1
45,UP,189F60AD04DBAD000000,-16.520,2024-05-18 16:52:59,PER.TDP.1692050050362,ASKY0048A286,1012597956,JU,G308,JUG3080104,7
48,LOS,18A9AD444E448C000000,--,2023-09-21 18:23:25,PER.TDP.1694814716650,MSTC0F42B959,1012792016,JU,G308,JUG3080102,5
49,UP,18B1FB684E89C2000000,-16.718,2024-05-20 20:53:07,PER.TDP.1697044136393,MSTC0F4433A9,1012946166,JU,G308,JUG3080103,11
59,other,18DA545E4DD538000000,--,--,PER.TDP.1707874837167,--,1013775017,JU,G308,JUG3080105,1
60,LOS,189FB53ED5D824000000,--,2023-08-16 16:16:45,PER.TDP.1692138728211,MSTC1529A19A,1012604493,JU,G308,JUG3080103,4
64,UP,189B78D387F6FE000000,-19.747,2024-05-20 22:58:09,PER.TDP.1691001630887,MSTC0F422644,1012525581,JU,G308,JUG3080105,6
